,match_place,la,lo
enghelschen,Engelant,52.169581,5.942615
engelschen,Engelant,52.169581,5.942615
engelsche,Engelant,52.169581,5.942615
enghelsche,Engelant,52.169581,5.942615
engelsen,Engelant,52.169581,5.942615
engelsch,Engelant,52.169581,5.942615
engelse,Engelant,52.169581,5.942615
engels,Engelant,52.169581,5.942615
engelsz,Engelant,52.169581,5.942615
engel,Engelant,52.169581,5.942615
engl,Engelant,52.169581,5.942615
ynghelsche,Engelant,52.169581,5.942615
ynghelssche,Engelant,52.169581,5.942615
ynghelsschen,Engelant,52.169581,5.942615
engelen,Engelant,52.169581,5.942615
vlaenderen,Vlaanderen,51.0962462,4.1786291
vlanderen,Vlaanderen,51.0962462,4.1786291
vlaendren,Vlaanderen,51.0962462,4.1786291
vlaendere,Vlaanderen,51.0962462,4.1786291
vlaederen,Vlaanderen,51.0962462,4.1786291
vlaenderen i,Vlaanderen,51.0962462,4.1786291
vloenderen,Vlaanderen,51.0962462,4.1786291
vloanderen,Vlaanderen,51.0962462,4.1786291
vlaanderen,Vlaanderen,51.0962462,4.1786291
flaenderen,Vlaanderen,51.0962462,4.1786291
vlaender,Vlaanderen,51.0962462,4.1786291
vlaende,Vlaanderen,51.0962462,4.1786291
vlaen deure,Vlaanderen,51.0962462,4.1786291
vlaeldere,Vlaanderen,51.0962462,4.1786291
vranckerijcke,Frankrijk,46.603354,1.8883335
vranckenrijcke,Frankrijk,46.603354,1.8883335
vrankerijcke,Frankrijk,46.603354,1.8883335
vranckrijcke,Frankrijk,46.603354,1.8883335
vranckerijck,Frankrijk,46.603354,1.8883335
vranckericke,Frankrijk,46.603354,1.8883335
vrackerijcke,Frankrijk,46.603354,1.8883335
vanckerijcke,Frankrijk,46.603354,1.8883335
vrancktrijcke,Frankrijk,46.603354,1.8883335
vranckreijcke,Frankrijk,46.603354,1.8883335
vranckerijckx,Frankrijk,46.603354,1.8883335
vrancherijcke,Frankrijk,46.603354,1.8883335
vranc kerijke,Frankrijk,46.603354,1.8883335
franckerijcke,Frankrijk,46.603354,1.8883335
vrancrijcke,Frankrijk,46.603354,1.8883335
vranckrijck,Frankrijk,46.603354,1.8883335
vranckijcke,Frankrijk,46.603354,1.8883335
vranckerijk,Frankrijk,46.603354,1.8883335
vranckerije,Frankrijk,46.603354,1.8883335
vranckerijc,Frankrijk,46.603354,1.8883335
vranckerick,Frankrijk,46.603354,1.8883335
vranckeijck,Frankrijk,46.603354,1.8883335
vanckrijcke,Frankrijk,46.603354,1.8883335
vrankerijcke t,Frankrijk,46.603354,1.8883335
vranckerycke,Frankrijk,46.603354,1.8883335
vranckerijcx,Frankrijk,46.603354,1.8883335
vranchrijcke,Frankrijk,46.603354,1.8883335
ranckerijcke,Frankrijk,46.603354,1.8883335
franckrijcke,Frankrijk,46.603354,1.8883335
vrancenijck,Frankrijk,46.603354,1.8883335
vranrijcke,Frankrijk,46.603354,1.8883335
vrankrijck,Frankrijk,46.603354,1.8883335
vrankerijk,Frankrijk,46.603354,1.8883335
vrancrijke,Frankrijk,46.603354,1.8883335
vrancrijck,Frankrijk,46.603354,1.8883335
vrancrijk,Frankrijk,46.603354,1.8883335
vranckrijk,Frankrijk,46.603354,1.8883335
vrankrijk,Frankrijk,46.603354,1.8883335
vrancrijc,Frankrijk,46.603354,1.8883335
frankrijk,Frankrijk,46.603354,1.8883335
vrancrijcx,Frankrijk,46.603354,1.8883335
vrancherycke,Frankrijk,46.603354,1.8883335
vrancrycke,Frankrijk,46.603354,1.8883335
vranckrycke,Frankrijk,46.603354,1.8883335
vrancryck,Frankrijk,46.603354,1.8883335
vranckryck,Frankrijk,46.603354,1.8883335
francrycke,Frankrijk,46.603354,1.8883335
vranckreyck,Frankrijk,46.603354,1.8883335
vranckeryck,Frankrijk,46.603354,1.8883335
vranckryk,Frankrijk,46.603354,1.8883335
vrankeryck,Frankrijk,46.603354,1.8883335
vranckeryk,Frankrijk,46.603354,1.8883335
vranckeryc,Frankrijk,46.603354,1.8883335
vranck keryck,Frankrijk,46.603354,1.8883335
vranckerycs,Frankrijk,46.603354,1.8883335
vrankryk,Frankrijk,46.603354,1.8883335
fransche,Dranse,53.199063,12.620147
franssche,Dranse,53.199063,12.620147
franschen,Dranse,53.199063,12.620147
fransch,Dranse,53.199063,12.620147
franche,Dranse,53.199063,12.620147
fransschen,Dranse,53.199063,12.620147
vransche,Dranse,53.199063,12.620147
franchen,Dranse,53.199063,12.620147
frasschen,Dranse,53.199063,12.620147
fransse,Dranse,53.199063,12.620147
franssen,Dranse,53.199063,12.620147
franse,Dranse,53.199063,12.620147
fransen,Dranse,53.199063,12.620147
fransoysen,Dranse,53.199063,12.620147
franssoysen,Dranse,53.199063,12.620147
franssoyssen,Dranse,53.199063,12.620147
franschoysen,Dranse,53.199063,12.620147
francoysen,Dranse,53.199063,12.620147
franssoys,Dranse,53.199063,12.620147
franchoysen,Dranse,53.199063,12.620147
franschoys,Dranse,53.199063,12.620147
franchoyse,Dranse,53.199063,12.620147
franchosen,Dranse,53.199063,12.620147
franschoijsen,Dranse,53.199063,12.620147
francoyesen,Dranse,53.199063,12.620147
franchoisen,Dranse,53.199063,12.620147
franchoys,Dranse,53.199063,12.620147
franchoijsen,Dranse,53.199063,12.620147
francoijsen,Dranse,53.199063,12.620147
franchois,Dranse,53.199063,12.620147
franecoijsen,Dranse,53.199063,12.620147
francoeijsen,Dranse,53.199063,12.620147
francoijse,Dranse,53.199063,12.620147
franchoijs,Dranse,53.199063,12.620147
fransoeijsen,Dranse,53.199063,12.620147
francoyzen,Dranse,53.199063,12.620147
francoeyzen,Dranse,53.199063,12.620147
frans,Dranse,53.199063,12.620147
france,Dranse,53.199063,12.620147
vrancschen,Dranse,53.199063,12.620147
francken,Dranse,53.199063,12.620147
brugghe,Brugghe,54.174511,10.069941
brughghe,Brugghe,54.174511,10.069941
brugghen,Brugghe,54.174511,10.069941
brughe,Brugghe,54.174511,10.069941
bruggh,Brugghe,54.174511,10.069941
brugge,Brugghe,54.174511,10.069941
brgghe,Brugghe,54.174511,10.069941
brugghche,Brugghe,54.174511,10.069941
brughen,Brugghe,54.174511,10.069941
brugghelin,Brugghe,54.174511,10.069941
bruge,Brugghe,54.174511,10.069941
bruges,Brugghe,54.174511,10.069941
brugg,Brugghe,54.174511,10.069941
brughsche,Brugghe,54.174511,10.069941
brugsche,Brugghe,54.174511,10.069941
bruchsche,Brugghe,54.174511,10.069941
amsterdam,Amsterdam,52.3773169208464,4.91696736569536
amsterdamm,Amsterdam,52.3773169208464,4.91696736569536
amster dam,Amsterdam,52.3773169208464,4.91696736569536
aemsterdam,Amsterdam,52.3773169208464,4.91696736569536
amsterdm,Amsterdam,52.3773169208464,4.91696736569536
amsterda,Amsterdam,52.3773169208464,4.91696736569536
amstedam,Amsterdam,52.3773169208464,4.91696736569536
amsterdamse,Amsterdam,52.3773169208464,4.91696736569536
amsterdamme,Amsterdam,52.3773169208464,4.91696736569536
amstelrodam,Amsterdam,52.3773169208464,4.91696736569536
amstelredam,Amsterdam,52.3773169208464,4.91696736569536
ansterdam,Amsterdam,52.3773169208464,4.91696736569536
amsteldam,Amsterdam,52.3773169208464,4.91696736569536
amsterd,Amsterdam,52.3773169208464,4.91696736569536
amsterdammer,Amsterdam,52.3773169208464,4.91696736569536
amstelredamme,Amsterdam,52.3773169208464,4.91696736569536
amstreda,Amsterdam,52.3773169208464,4.91696736569536
